external_id,baslik,mevcut_kategori,tam_kategori_yollari,glosh_skoru,hdbscan_kume,oneri_yol,oneri_kategori,label_sim_fark,knn_oneri,knn_baskinlik,knn_impurity,ortak_agac_derinligi,oncelik,supheli_mi,risk_skoru
1402014,Saldırganlık Türleri ile Yürütücü İşlevler Arasındaki İlişki: Meta-Analiz Çalışması,Psikiyatri,Fen > Tıp > Psikiyatri,0.8684976868362609,-1,Sosyal > Sosyal > Davranış Bilimleri,Davranış Bilimleri,0.1404205858707428,Davranış Bilimleri,0.3,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.6262716267638252
1373987,Çeviri Ödülleri Aracılığıyla Çevirmen Habituslarının ve Sermayenin Yeniden Üretimi: Türkiye Örneği,"Fizik, Uygulamalı, Sosyoloji","Fen > Temel Bilimler > Fizik, Uygulamalı | Sosyal > Sosyal > Sosyoloji",0.5607644521457854,-1,"Fen > Mühendislik > Mühendislik, Deniz","Mühendislik, Deniz",0.23470798134803772,Antropoloji,0.4,1.0,1,YÜKSEK (Farklı Alt Alan),1,0.6223389065082596
1375271,Protective Effects of Taraxacum Officinale Leaf Extract Against Hydrogen Peroxide-Induced Oxidative Stress in Drosophila Melanogaster Larvae,"Biyoloji, Kimya, Tıbbi","Fen > Temel Bilimler > Biyoloji | Fen > Temel Bilimler > Kimya, Tıbbi",0.8104867118599458,-1,Fen > Ziraat > Bitki Bilimleri,Bitki Bilimleri,0.1237536370754242,Entomoloji,0.4,0.9,1,YÜKSEK (Farklı Alt Alan),1,0.6059354509413849
1395580,"Tükenmişlik Ölçme Aracının Çok Kısa Formunun Uyarlaması (BAT4): Geçerlilik, Güvenilirlik, Ölçüm Değişmezliği ve İlişki Analizi","Davranış Bilimleri, Psikoloji",Sosyal > Sosyal > Davranış Bilimleri | Sosyal > Sosyal > Psikoloji,0.9200146359057382,-1,"Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test","Malzeme Bilimleri, Özellik ve Test",0.1528874933719635,Bilgi,0.3,0.8,0,KRİTİK (Farklı Ana Disiplin),1,0.6035142816566219
1398986,Tıbbi Sekreter Adaylarının Yapay Zekâ Konusundaki Kaygı Düzeylerinin Yapay Zekâ Okuryazarlığıyla İlişkisi Üzerine Bir Araştırma,"Sağlık Bilimleri ve Hizmetleri, Tıbbi İnformatik",Fen > Tıp > Sağlık Bilimleri ve Hizmetleri | Fen > Tıp > Tıbbi İnformatik,0.8711230071015518,-1,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka","Bilgisayar Bilimleri, Yapay Zeka",0.18012160062789917,Bilgisayar Bilimleri,0.8,0.8,1,YÜKSEK (Farklı Alt Alan),1,0.6008233119951527
1393397,Cytotoxic and genotoxic effects of minor temperature changes and zinc oxide nanoparticles synthesized using Plantago major on Oncorhynchus mykiss gonadal cells,"Zooloji, Çevre Bilimleri",Fen > Temel Bilimler > Zooloji | Fen > Temel Bilimler > Çevre Bilimleri,0.6310295561509645,-1,Fen > Ziraat > Bitki Bilimleri,Bitki Bilimleri,0.09703046083450317,Nanobilim ve Nanoteknoloji,0.4,1.0,1,YÜKSEK (Farklı Alt Alan),1,0.5917180503298172
1407133,BİTCOİN İŞLEMLERİNDE HİLELİ FAALİYET ÖRÜNTÜLERİNİN TESPİTİ: ŞÜPHELİ CÜZDAN DAVRANIŞLARININ ANALİZİ,Kriminoloji ve Ceza Bilimi,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,0.8634883850604395,-1,Fen > Temel Bilimler > İstatistik ve Olasılık,İstatistik ve Olasılık,0.14053308963775635,Bilgisayar Bilimleri,0.4,0.8,0,KRİTİK (Farklı Ana Disiplin),1,0.5850586776383246
1397862,Sermaye Yapısını Etkileyen Firmaya Özgü Faktörler: Türkiye’deki Gıda ve İçecek ile Taş ve Toprağa Dayalı Sanayi Firmaları Üzerine Bir Uygulama,İşletme Finans,Sosyal > Sosyal > İşletme Finans,0.6914781878819378,-1,Fen > Ziraat > Tarımsal Ekonomi ve Politika,Tarımsal Ekonomi ve Politika,0.1334155797958374,Tarımsal Ekonomi ve Politika,0.5,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.5795649998990275
1366874,MADEN ADLARININ KÖKEN BİLİMİ AÇISINDAN İNCELENMESİ,"Malzeme Bilimleri, Kâğıt ve Ahşap, Metalürji Mühendisliği, Dil ve Dil Bilim","Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap | Fen > Mühendislik > Metalürji Mühendisliği | Sosyal > Sosyal > Dil ve Dil Bilim",0.8830099810193424,-1,Fen > Temel Bilimler > Mineraloji,Mineraloji,0.10274654626846313,Maden İşletme ve Cevher Hazırlama,0.6,0.8,1,YÜKSEK (Farklı Alt Alan),1,0.5767137864487977
1399663,Mikro- ve Nanoplastiklerin Kişisel Bakım Ürünlerinde Kullanımı ve Toksikolojik Etkileri: Geleneksel Derleme,"Farmakoloji ve Eczacılık, Toksikoloji, Çevre Bilimleri",Fen > Eczacılık > Farmakoloji ve Eczacılık | Fen > Eczacılık > Toksikoloji | Fen > Temel Bilimler > Çevre Bilimleri,0.8538717063515597,-1,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,Nanobilim ve Nanoteknoloji,0.22478848695755005,Malzeme Bilimleri,0.4,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.5721438970230324
