Model,Embedding_Dim,Articles,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Singleton_Clusters,Clusters_LE_5,Clusters_LE_10,Smallest_Cluster,Largest_Cluster,Average_Cluster_Size,Embedding_Time_Seconds,Clustering_Time_Seconds
E5,768,6964,195,-0.07975942641496658,3.012066912707369,11.133270947184815,72,96,98,1,191,35.712820512820514,207.3902280330658,14.456493616104126
BGE-M3,1024,6964,195,-0.06135483831167221,3.219448158645954,9.229653425686974,54,79,93,1,191,35.712820512820514,716.7152552604675,19.7451388835907
MPNet-Multilingual,768,6964,195,0.004896072670817375,2.89139457761395,19.99168363495257,18,38,50,1,119,35.712820512820514,169.71838283538818,12.694414138793945
