cluster_id,taxonomy_path,display_name_level_1,display_name_level_2,display_name_level_3,x_center,y_center,size,dominant_category,category_purity
143,Fen > Tıp > Cerrahi,Fen,Tıp,Cerrahi,6.1191993,2.3749866,5,Fen > Tıp > Cerrahi,0.4
148,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen,Tıp,Sağlık Bilimleri ve Hizmetleri,3.4323545,3.885205,1,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,1.0
155,Fen > Temel Bilimler > Çevre Bilimleri,Fen,Temel Bilimler,Çevre Bilimleri,9.254208,7.009712,1,Fen > Temel Bilimler > Çevre Bilimleri,1.0
164,Sosyal > Çevre Çalışmaları,Sosyal,Çevre Çalışmaları,Çevre Çalışmaları,5.936903,9.668962,2,Sosyal > Çevre Çalışmaları,0.5
165,Sosyal > Felsefe,Sosyal,Felsefe,Felsefe,2.4453266,5.580749,1,Sosyal > Felsefe,1.0
166,Fen > Mühendislik > İnşaat Mühendisliği,Fen,Mühendislik,İnşaat Mühendisliği,2.313036,5.653787,2,Fen > Mühendislik > İnşaat Mühendisliği,0.5
167,Sosyal > Sosyoloji,Sosyal,Sosyoloji,Sosyoloji,4.3322563,0.7398187,1,Sosyal > Sosyoloji,1.0
178,Fen > Mühendislik > Mimarlık,Fen,Küme #178,Küme #178,4.252078,9.454332,3,Fen > Mühendislik > Mimarlık,0.33
183,Fen > Temel Bilimler > Spektroskopi,Fen,Temel Bilimler,Spektroskopi,10.662468,6.7003226,1,Fen > Temel Bilimler > Spektroskopi,1.0
184,Sosyal > Bilim Felsefesi ve Tarihi,Sosyal,Bilim Felsefesi ve Tarihi,Bilim Felsefesi ve Tarihi,4.4196925,8.082477,1,Sosyal > Bilim Felsefesi ve Tarihi,1.0
185,Sosyal > Hukuk,Sosyal,Hukuk,Hukuk,4.154974,5.302867,2,Sosyal > Hukuk,1.0
187,Sosyal > Coğrafya,Sosyal,Coğrafya,Coğrafya,5.6567893,10.333542,2,Sosyal > Coğrafya,0.5
188,Fen > Temel Bilimler > Viroloji,Fen,Temel Bilimler,Viroloji,9.136725,3.7230172,1,Fen > Temel Bilimler > Viroloji,1.0
193,Sosyal > Hukuk,Sosyal,Küme #193,Küme #193,4.1248527,5.1753125,4,Sosyal > Hukuk,0.25
200,Sosyal > Etik,Sosyal,Etik,Etik,2.5809164,3.8218956,1,Sosyal > Etik,1.0
201,"Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",Fen,Temel Bilimler,"Kimya, İnorganik ve Nükleer",8.343732,8.361368,1,"Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer",1.0
207,Fen > Tıp > Acil Tıp,Fen,Tıp,Acil Tıp,3.213469,3.9573302,1,Fen > Tıp > Acil Tıp,1.0
210,Fen > Diş Hekimliği,Fen,Diş Hekimliği,Diş Hekimliği,9.317677,7.9445667,1,Fen > Diş Hekimliği,1.0
211,Fen > Temel Bilimler > İstatistik ve Olasılık,Fen,Temel Bilimler,İstatistik ve Olasılık,7.0355773,6.3291774,2,Fen > Temel Bilimler > İstatistik ve Olasılık,0.5
