cluster_id,initial_seed_subject,article_count,matched_articles,match_rate
177,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi,34,15,0.4411764705882353
178,Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları,22,5,0.22727272727272727
179,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",32,30,0.9375
180,Sosyal > Sosyal > Psikoloji,31,18,0.5806451612903226
181,Sosyal > Sosyal > Sanat,51,36,0.7058823529411765
182,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,28,21,0.75
183,Sosyal > Sosyal > Siyasi Bilimler,40,20,0.5
184,Sosyal > Sosyal > Sosyal Çalışma,16,5,0.3125
185,Sosyal > Sosyal > Sosyoloji,23,5,0.21739130434782608
186,Sosyal > Sosyal > Tarih,45,41,0.9111111111111111
187,Sosyal > Sosyal > Tiyatro,24,11,0.4583333333333333
188,Sosyal > Sosyal > Uluslararası İlişkiler,36,30,0.8333333333333334
189,Sosyal > Sosyal > Çevre Çalışmaları,61,29,0.47540983606557374
190,Sosyal > Sosyal > İktisat,52,28,0.5384615384615384
191,Sosyal > Sosyal > İletişim,35,25,0.7142857142857143
192,Sosyal > Sosyal > İş,20,0,0.0
193,Sosyal > Sosyal > İşletme,38,33,0.868421052631579
194,Sosyal > Sosyal > İşletme Finans,30,19,0.6333333333333333
