cluster_id,initial_seed_subject,article_count
108,Fen > Tıp > Hücre Biyolojisi,34
109,Fen > Tıp > Kadın Hastalıkları ve Doğum,54
110,Fen > Tıp > Kalp ve Kalp Damar Sistemi,31
111,Fen > Tıp > Klinik Nöroloji,24
112,"Fen > Tıp > Kulak, Burun, Boğaz",20
113,Fen > Tıp > Mikrobiyoloji,46
114,Fen > Tıp > Nörolojik Bilimler,36
115,Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi,26
116,Fen > Tıp > Onkoloji,89
117,Fen > Tıp > Ortopedi,30
118,Fen > Tıp > Patoloji,31
119,Fen > Tıp > Pediatri,51
120,Fen > Tıp > Periferik Damar Hastalıkları,26
121,Fen > Tıp > Psikiyatri,43
122,"Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",37
123,Fen > Tıp > Rehabilitasyon,39
124,Fen > Tıp > Romatoloji,28
125,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,28
126,Fen > Tıp > Solunum Sistemi,41
127,Fen > Tıp > Spor Bilimleri,37
128,Fen > Tıp > Tamamlayıcı ve Entegre Tıp,13
129,Fen > Tıp > Temel Sağlık Hizmetleri,46
130,Fen > Tıp > Transplantasyon,7
131,Fen > Tıp > Tropik Tıp,20
132,Fen > Tıp > Tıbbi Araştırmalar Deneysel,52
133,Fen > Tıp > Tıbbi Etik,18
134,Fen > Tıp > Tıbbi Laboratuar Teknolojisi,16
135,Fen > Tıp > Tıbbi İnformatik,37
136,"Fen > Tıp > Yoğun Bakım, Tıp",32
137,Fen > Tıp > Üroloji ve Nefroloji,15
138,Fen > Tıp > İmmünoloji,46
139,Fen > Veterinerlik > Veterinerlik,2
140,Fen > Ziraat > Bahçe Bitkileri,55
141,Fen > Ziraat > Bitki Bilimleri,16
142,Fen > Ziraat > Tarımsal Ekonomi ve Politika,35
143,Fen > Ziraat > Ziraat Mühendisliği,22
144,"Fen > Ziraat > Ziraat, Toprak Bilimi",26
145,Sosyal > Sosyal > Aile Çalışmaları,56
146,Sosyal > Sosyal > Antropoloji,35
147,Sosyal > Sosyal > Arkeoloji,52
148,Sosyal > Sosyal > Asya Çalışmaları,14
149,Sosyal > Sosyal > Beslenme ve Diyetetik,36
150,Sosyal > Sosyal > Beşeri Bilimler,43
151,"Sosyal > Sosyal > Bilgi, Belge Yönetimi",47
152,Sosyal > Sosyal > Bilim Felsefesi ve Tarihi,11
153,Sosyal > Sosyal > Coğrafya,22
154,Sosyal > Sosyal > Davranış Bilimleri,52
155,Sosyal > Sosyal > Dil ve Dil Bilim,36
156,Sosyal > Sosyal > Din Bilimi,36
157,Sosyal > Sosyal > Edebi Teori ve Eleştiri,44
158,Sosyal > Sosyal > Edebiyat,42
159,Sosyal > Sosyal > Etik,9
160,Sosyal > Sosyal > Etnik Çalışmalar,25
161,"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",55
162,"Sosyal > Sosyal > Eğitim, Özel",39
163,Sosyal > Sosyal > Felsefe,46
164,"Sosyal > Sosyal > Film, Radyo, Televizyon",29
165,Sosyal > Sosyal > Folklor,27
166,Sosyal > Sosyal > Halkla İlişkiler,41
167,Sosyal > Sosyal > Hemşirelik,21
168,Sosyal > Sosyal > Hukuk,33
169,Sosyal > Sosyal > Kadın Araştırmaları,62
170,Sosyal > Sosyal > Kamu Yönetimi,16
171,Sosyal > Sosyal > Kentsel Çalışmalar,54
172,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,23
173,Sosyal > Sosyal > Kültürel Çalışmalar,40
174,Sosyal > Sosyal > Madde Bağımlılığı,46
175,Sosyal > Sosyal > Mantık,5
176,Sosyal > Sosyal > Müzik,26
177,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi,34
178,Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları,22
179,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",32
180,Sosyal > Sosyal > Psikoloji,31
181,Sosyal > Sosyal > Sanat,51
182,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,28
183,Sosyal > Sosyal > Siyasi Bilimler,40
