Model,Articles,Micro_Precision,Micro_Recall,Micro_F1,Macro_F1,Sample_F1,Exact_Match_Rate,At_Least_One_Match_Rate,Average_Predicted_Labels,Average_True_Labels
Sabit Konu Kimligi,20902,0.36205605585348577,0.35257370329497084,0.35725196936870374,0.3533597356442569,0.3726385469854994,0.04798583867572481,0.7042866711319491,2.3641278346569705,2.4277102669600996
Relabel - Baskin Konu,20902,0.3897127759311344,0.3604367018760839,0.37450346042016464,0.31389616707950047,0.3926467195293145,0.05468376231939527,0.7255286575447326,2.245335374605301,2.4277102669600996
