cluster_id,subject_fullname
115,Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi
116,Fen > Tıp > Onkoloji
117,Fen > Tıp > Ortopedi
118,Fen > Tıp > Patoloji
119,Fen > Tıp > Pediatri
120,Fen > Tıp > Periferik Damar Hastalıkları
121,Fen > Tıp > Psikiyatri
122,"Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme"
123,Fen > Tıp > Rehabilitasyon
124,Fen > Tıp > Romatoloji
125,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri
126,Fen > Tıp > Solunum Sistemi
127,Fen > Tıp > Spor Bilimleri
128,Fen > Tıp > Tamamlayıcı ve Entegre Tıp
129,Fen > Tıp > Temel Sağlık Hizmetleri
130,Fen > Tıp > Transplantasyon
131,Fen > Tıp > Tropik Tıp
132,Fen > Tıp > Tıbbi Araştırmalar Deneysel
133,Fen > Tıp > Tıbbi Etik
134,Fen > Tıp > Tıbbi Laboratuar Teknolojisi
135,Fen > Tıp > Tıbbi İnformatik
136,"Fen > Tıp > Yoğun Bakım, Tıp"
137,Fen > Tıp > Üroloji ve Nefroloji
138,Fen > Tıp > İmmünoloji
139,Fen > Veterinerlik > Veterinerlik
140,Fen > Ziraat > Bahçe Bitkileri
141,Fen > Ziraat > Bitki Bilimleri
142,Fen > Ziraat > Tarımsal Ekonomi ve Politika
143,Fen > Ziraat > Ziraat Mühendisliği
144,"Fen > Ziraat > Ziraat, Toprak Bilimi"
145,Sosyal > Sosyal > Aile Çalışmaları
146,Sosyal > Sosyal > Antropoloji
147,Sosyal > Sosyal > Arkeoloji
148,Sosyal > Sosyal > Asya Çalışmaları
149,Sosyal > Sosyal > Beslenme ve Diyetetik
150,Sosyal > Sosyal > Beşeri Bilimler
151,"Sosyal > Sosyal > Bilgi, Belge Yönetimi"
152,Sosyal > Sosyal > Bilim Felsefesi ve Tarihi
153,Sosyal > Sosyal > Coğrafya
154,Sosyal > Sosyal > Davranış Bilimleri
155,Sosyal > Sosyal > Dil ve Dil Bilim
156,Sosyal > Sosyal > Din Bilimi
157,Sosyal > Sosyal > Edebi Teori ve Eleştiri
158,Sosyal > Sosyal > Edebiyat
159,Sosyal > Sosyal > Etik
160,Sosyal > Sosyal > Etnik Çalışmalar
161,"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları"
162,"Sosyal > Sosyal > Eğitim, Özel"
163,Sosyal > Sosyal > Felsefe
164,"Sosyal > Sosyal > Film, Radyo, Televizyon"
165,Sosyal > Sosyal > Folklor
166,Sosyal > Sosyal > Halkla İlişkiler
167,Sosyal > Sosyal > Hemşirelik
168,Sosyal > Sosyal > Hukuk
169,Sosyal > Sosyal > Kadın Araştırmaları
170,Sosyal > Sosyal > Kamu Yönetimi
171,Sosyal > Sosyal > Kentsel Çalışmalar
172,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi
173,Sosyal > Sosyal > Kültürel Çalışmalar
174,Sosyal > Sosyal > Madde Bağımlılığı
175,Sosyal > Sosyal > Mantık
176,Sosyal > Sosyal > Müzik
177,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi
178,Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları
179,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm"
180,Sosyal > Sosyal > Psikoloji
181,Sosyal > Sosyal > Sanat
182,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri
