baseline_cluster_id,assigned_subject,article_count,matched_articles,match_rate
180,"Fen > Mühendislik > Mühendislik, Jeoloji",30,15,0.5
181,Fen > Tıp > Spor Bilimleri,23,11,0.4782608695652174
182,"Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik",21,13,0.6190476190476191
183,Fen > Tıp > Pediatri,26,15,0.5769230769230769
184,Fen > Mühendislik > Robotik,30,13,0.43333333333333335
185,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",33,24,0.7272727272727273
186,Fen > Temel Bilimler > Genetik ve Kalıtım,16,5,0.3125
187,Fen > Tıp > Enfeksiyon Hastalıkları,24,16,0.6666666666666666
188,Sosyal > Sosyal > Hemşirelik,38,22,0.5789473684210527
189,Sosyal > Sosyal > Aile Çalışmaları,20,13,0.65
190,Fen > Ziraat > Bitki Bilimleri,22,9,0.4090909090909091
191,"Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği",20,5,0.25
192,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama,23,8,0.34782608695652173
193,Sosyal > Sosyal > Tarih,38,22,0.5789473684210527
194,Sosyal > Sosyal > Çevre Çalışmaları,34,9,0.2647058823529412
