cluster_id,subject_fullname,centroid_shift
95,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,0.62358737
96,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,0.5591356
97,Fen > Tıp > Cerrahi,0.5229242
98,Fen > Tıp > Dermatoloji,0.5261926
99,Fen > Tıp > Endokrinoloji ve Metabolizma,0.5513938
100,Fen > Tıp > Enfeksiyon Hastalıkları,0.49076495
101,Fen > Tıp > Fizyoloji,0.58969027
102,Fen > Tıp > Gastroenteroloji ve Hepatoloji,0.5486119
103,Fen > Tıp > Genel ve Dahili Tıp,0.7375855
104,Fen > Tıp > Geriatri ve Gerontoloji,0.4407926
105,Fen > Tıp > Göz Hastalıkları,0.46061572
106,Fen > Tıp > Halk ve Çevre Sağlığı,0.7797484
107,Fen > Tıp > Hematoloji,0.6439349
108,Fen > Tıp > Hücre Biyolojisi,0.5286786
109,Fen > Tıp > Kadın Hastalıkları ve Doğum,0.5063686
110,Fen > Tıp > Kalp ve Kalp Damar Sistemi,0.51370597
111,Fen > Tıp > Klinik Nöroloji,0.5702331
112,"Fen > Tıp > Kulak, Burun, Boğaz",0.5940233
113,Fen > Tıp > Mikrobiyoloji,0.44028887
114,Fen > Tıp > Nörolojik Bilimler,0.5819193
115,Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi,0.5042831
116,Fen > Tıp > Onkoloji,0.50916415
117,Fen > Tıp > Ortopedi,0.4933175
118,Fen > Tıp > Patoloji,0.57427895
119,Fen > Tıp > Pediatri,0.4629193
120,Fen > Tıp > Periferik Damar Hastalıkları,0.513368
121,Fen > Tıp > Psikiyatri,0.542107
122,"Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",0.52449673
123,Fen > Tıp > Rehabilitasyon,0.5702457
124,Fen > Tıp > Romatoloji,0.5429131
125,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,0.6536062
126,Fen > Tıp > Solunum Sistemi,0.50625736
127,Fen > Tıp > Spor Bilimleri,0.4980464
128,Fen > Tıp > Tamamlayıcı ve Entegre Tıp,0.5914366
129,Fen > Tıp > Temel Sağlık Hizmetleri,0.49546927
130,Fen > Tıp > Transplantasyon,0.53554034
131,Fen > Tıp > Tropik Tıp,0.50359994
132,Fen > Tıp > Tıbbi Araştırmalar Deneysel,0.5398189
133,Fen > Tıp > Tıbbi Etik,0.5968497
134,Fen > Tıp > Tıbbi Laboratuar Teknolojisi,0.75906223
135,Fen > Tıp > Tıbbi İnformatik,0.4923285
136,"Fen > Tıp > Yoğun Bakım, Tıp",0.5530164
137,Fen > Tıp > Üroloji ve Nefroloji,0.49229702
138,Fen > Tıp > İmmünoloji,0.5357329
139,Fen > Veterinerlik > Veterinerlik,0.728026
140,Fen > Ziraat > Bahçe Bitkileri,0.51121646
141,Fen > Ziraat > Bitki Bilimleri,0.82498944
142,Fen > Ziraat > Tarımsal Ekonomi ve Politika,0.4334469
143,Fen > Ziraat > Ziraat Mühendisliği,0.53719044
144,"Fen > Ziraat > Ziraat, Toprak Bilimi",0.5335498
145,Sosyal > Sosyal > Aile Çalışmaları,0.40379056
146,Sosyal > Sosyal > Antropoloji,0.41941285
147,Sosyal > Sosyal > Arkeoloji,0.5192012
148,Sosyal > Sosyal > Asya Çalışmaları,0.5313729
149,Sosyal > Sosyal > Beslenme ve Diyetetik,0.51262486
150,Sosyal > Sosyal > Beşeri Bilimler,0.499646
151,"Sosyal > Sosyal > Bilgi, Belge Yönetimi",0.75156206
152,Sosyal > Sosyal > Bilim Felsefesi ve Tarihi,0.5841742
153,Sosyal > Sosyal > Coğrafya,0.45022357
154,Sosyal > Sosyal > Davranış Bilimleri,0.52783954
155,Sosyal > Sosyal > Dil ve Dil Bilim,0.48627594
156,Sosyal > Sosyal > Din Bilimi,0.36306745
157,Sosyal > Sosyal > Edebi Teori ve Eleştiri,0.54613537
158,Sosyal > Sosyal > Edebiyat,0.37180665
159,Sosyal > Sosyal > Etik,0.5259222
160,Sosyal > Sosyal > Etnik Çalışmalar,0.49225086
161,"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",0.53744435
162,"Sosyal > Sosyal > Eğitim, Özel",0.51162076
163,Sosyal > Sosyal > Felsefe,0.49311215
164,"Sosyal > Sosyal > Film, Radyo, Televizyon",0.4891283
165,Sosyal > Sosyal > Folklor,0.5089881
166,Sosyal > Sosyal > Halkla İlişkiler,0.45559558
167,Sosyal > Sosyal > Hemşirelik,0.40653992
168,Sosyal > Sosyal > Hukuk,0.49609348
169,Sosyal > Sosyal > Kadın Araştırmaları,0.3995232
170,Sosyal > Sosyal > Kamu Yönetimi,0.437368
171,Sosyal > Sosyal > Kentsel Çalışmalar,0.43851453
172,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,0.5353458
173,Sosyal > Sosyal > Kültürel Çalışmalar,0.40431935
174,Sosyal > Sosyal > Madde Bağımlılığı,0.46747008
175,Sosyal > Sosyal > Mantık,0.6084674
176,Sosyal > Sosyal > Müzik,0.5091415
177,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi,0.4987395
178,Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları,0.52005893
179,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm",0.47797698
180,Sosyal > Sosyal > Psikoloji,0.5059244
181,Sosyal > Sosyal > Sanat,0.457199
182,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,0.38547766
183,Sosyal > Sosyal > Siyasi Bilimler,0.43936095
184,Sosyal > Sosyal > Sosyal Çalışma,0.5954729
185,Sosyal > Sosyal > Sosyoloji,0.59951866
186,Sosyal > Sosyal > Tarih,0.46708688
187,Sosyal > Sosyal > Tiyatro,0.5105674
188,Sosyal > Sosyal > Uluslararası İlişkiler,0.4714804
189,Sosyal > Sosyal > Çevre Çalışmaları,0.46474925
190,Sosyal > Sosyal > İktisat,0.44132784
191,Sosyal > Sosyal > İletişim,0.5068019
192,Sosyal > Sosyal > İş,0.6200852
193,Sosyal > Sosyal > İşletme,0.49293837
194,Sosyal > Sosyal > İşletme Finans,0.5147209
